x,y
1764,3151
3565,1630
1665,93
4278,2298
3429,1762
4174,833
2973,2727
2058,4172
1912,4086
4745,1737
4637,419
4638,886
2174,3540
831,306
818,2685
2708,938
2318,801
1970,2482
4673,531
792,3207
3933,1222
2659,1843
1068,1949
1129,324
4671,443
3831,3904
4481,4520
1926,3475
2027,1781
797,2723
1430,2419
835,3679
3692,1653
3899,2145
3923,1561
3708,1308
4937,1753
4669,3309
2873,3522
2147,3199
1369,1072
4887,4437
4015,900
1920,4985
2828,4635
2265,60
2503,3654
1734,3239
1841,2370
4745,2579
200,2951
286,3493
207,4687
4492,179
395,437
3334,2463
3711,2716
215,4553
3129,869
3446,2240
357,2777
364,511
2859,970
114,4307
804,4692
4429,281
1738,4850
4759,3374
2290,825
887,1480
996,1273
4543,1958
1895,3957
4954,2129
3277,1672
418,4276
4341,3997
615,1871
1065,3226
3753,543
2017,1870
970,1273
3555,4021
3443,2099
4985,1572
4500,302
4525,3198
1271,4040
4692,1137
395,2512
3164,4775
3930,3736
4885,3447
2720,4366
1895,525
2448,4380
4108,1944
2785,2488
1965,4188
3558,2231
2392,3117
2640,2621
1701,782
2484,2451
1598,832
1986,3347
4373,1342
2586,1743
3427,3807
2005,2249
4282,2986
3215,542
4794,3903
3604,792
1365,987
4293,2184
2170,70
3196,3219
1629,203
4946,1333
495,3407
3486,2729
3497,3111
332,2187
3878,4690
4836,116
706,290
1236,4581
1938,1345
2721,3483
1144,4142
2391,3985
2021,611
2206,1204
1585,2018
1101,108
227,3619
2262,2470
4309,166
3121,3823
1375,315
1369,75
4273,3272
2902,750
2567,213
3786,4170
1901,2120
3088,484
3546,3688
4001,1357
1770,901
4442,4224
775,4289
1782,4580
3275,2635
2271,1891
4893,486
2610,2285
709,4923
4795,1519
880,3760
187,3916
2903,2049
3563,1419
304,4316
1444,1314
3524,1628
2463,4957
4357,4740
419,447
1884,194
4688,3027
2111,3725
2311,2285
4297,2711
3067,1070
546,3612
4396,930
797,1257
1347,2768
3398,1776
4415,2057
2883,2899
2080,4158
89,4257
517,3444
910,4716
3444,3763
606,816
3732,1201
3128,1512
3345,4598
278,2819
3487,2280
2315,1155
685,4641
3633,4473
2568,4877
1544,4589
361,1802
3641,4153
3345,1117
4536,4422
279,1612
2324,4553
1687,2172
451,4206
3001,2330
3146,1076
301,1580
2461,1695
3671,2411
26,345
3507,3574
4509,84
1364,845
3006,3432
1888,2201
3289,4099
2901,4631
1271,747
2683,1761
343,3222
3077,2281
2698,1599
4129,1937
4653,4800
4650,298
4024,2022
1682,2301
1316,1508
3696,1896
357,642
1898,3243
3255,3463
226,1192
2360,2527
364,4647
1671,2441
3982,3131
924,2856
731,3750
2979,1833
4765,362
828,2934
3777,1563
2541,2369
811,24
557,4937
3564,1643
4057,1674
4003,4570
3320,4253
3872,1318
1264,35
4299,3725
605,3381
2622,1467
656,4640
2787,3730
1580,4008
3439,417
1291,2051
2390,4409
2411,3569
4833,15
4039,563
3864,2385
3824,4540
3003,3930
572,2524
1724,3428
3795,2881
3624,1185
3946,2958
527,2106
4631,1713
4808,1109
4305,2343
664,1451
34,4576
4787,4406
3734,4549
3955,2276
1485,42
3561,2883
2472,3581
390,268
379,2037
3467,750
382,3075
3848,4890
1719,958
2190,149
1423,3884
4963,386
548,155
2060,1192
3585,1299
1777,1959
1793,4419
146,503
3678,4002
2718,1241
588,505
4882,392
460,1870
3289,2163
79,4049
2140,822
4551,1227
655,3033
2608,4279
1643,4375
1731,4596
4217,2448
4289,2031
1293,1518
2897,551
829,2336
3395,3468
4165,2082
4340,1253
908,3046
3262,987
1526,403
3346,4579
254,4632
2227,4691
2583,1932
138,452
271,178
1912,2683
917,748
2332,2096
3822,472
873,3467
1915,2169
2221,4841
4919,906
1105,4459
966,3033
2963,2189
2995,442
513,3347
2386,2968
2292,58
1129,4009
2748,1806
1675,620
3474,2844
4373,597
1325,1441
1911,4532
727,2346
4102,3104
479,2927
1763,3783
4853,4626
1653,3826
4139,834
3626,1610
2879,4979
2565,2796
4933,201
3473,874
2585,3187
3458,3063
1958,1087
3058,3073
3176,4581
2311,1551
1700,560
3085,1699
1500,1583
398,2761
3094,516
849,4956
4493,380
2988,1251
1344,2930
3781,3401
2782,2458
2368,2639
3502,1400
3699,1130
3800,1143
3352,4427
2886,2598
998,245
1186,2927
2666,1666
1001,2371
2972,396
768,3587
4510,1887
135,3727
3899,537
1944,622
1677,1696
4901,1621
2917,3043
59,2433
2292,78
2777,486
2822,1349
3364,641
3551,4502
1190,3732
3897,4397
2573,110
3069,189
674,3813
3982,56
2027,4312
477,891
3102,815
3356,1043
3904,4710
4646,2489
4690,3164
45,4352
258,4695
1777,1360
4875,1453
3785,1460
3707,1565
90,4139
371,4170
3855,3970
3181,2195
3719,2769
4995,4456
814,1393
4713,332
3666,3975
3929,2189
3477,1846
382,256
2681,3131
3980,1928
4965,4813
189,4382
1635,4643
2742,1591
1279,2410
4370,4399
1488,3579
867,2099
3142,1777
514,3027
3249,1222
3368,4384
4012,855
2164,3458
2927,3006
3269,2913
3370,2139
57,1706
3748,3006
1759,757
2594,103
3073,3428
1666,4804
3482,2034
3435,2606
950,138
1696,2440
611,1753
2472,701
1679,1309
1928,4719
3559,2665
2401,1280
1969,4266
4047,57
1076,3980
543,24
2520,3631
2192,1618
4217,4449
1149,2791
2498,1113
1515,2651
3304,2423
2867,3694
3946,3396
1453,4871
3718,1714
2163,3436
3582,4018
505,2807
4025,2809
401,2648
4050,2989
3594,551
765,4381
2320,2421
3574,2796
3728,913
2838,3661
